pmid,publication_year,publication_date,first_author,all_authors,title,issn,doi,pages,issue,volume,journal,journal_abbreviation,abstract
40756464,2025,,Jeremy Branzetti,"Jeremy Branzetti, Richard C Winters",How to Be Coachable.,2472-5390,10.1002/aet2.70090,e70090,4,9,AEM education and training,AEM Educ Train,
40744344,2025,,Ahmad Parvinian,"Ahmad Parvinian, Rebecca J Roll, Adam J Weisbrod, Daniel A Adamo, Brian T Welch, Nikki M Jensen, Gina L Mazza, Thomas D Atwell","Response to Letter to the Editor Regarding ""The Incidence, Timing, and Presentation of Major Hemorrhagic Events Following Percutaneous Solid Organ Biopsies"".",1535-7732,10.1016/j.jvir.2025.07.022,,,,Journal of vascular and interventional radiology : JVIR,J Vasc Interv Radiol,
40740161,2025,,Jack B Korleski,"Jack B Korleski, Regina M Koch, Thanh P Ho, Steven I Robinson, Scott H Okuno, Joerg Herrmann, Brittany L Siontis",Predicting Tolerance to Anthracycline Chemotherapy Using Electrocardiogram-Based Artificial Intelligence in Sarcoma.,2949-7612,10.1161/JAHA.120.018656,100247,3,3,Mayo Clinic proceedings. Digital health,Mayo Clin Proc Digit Health,"The objective of this study was to understand the utility of artificial intelligence-enabled electrocardiogram (AI-ECG) to assess the tolerability of anthracycline chemotherapy. From December 18, 2006 to October 15, 2020, we identified adults with sarcoma who were treated with anthracycline chemotherapy at our institution who had an ECG within 1 year prior to treatment initiation. Utilizing previously defined AI-ECG nomograms, we obtained age and ejection fraction (EF) predictions. Changes in AI-ECG age were correlated with chemotherapy tolerance (the rates of dose reductions, treatment delays, and early discontinuation). We measured the sensitivity and specificity of the ECG to predict an EF of less than 50% or 35% prior to treatment and compared how changes in the AI-ECG EF prediction related to changes in echocardiography-based EF. Forty patients met the eligibility criteria. Sixty-eight percent of the patients were men. The median age was 56.5 years (18-76 years). We did not find differences in chemotherapy tolerance between patients who had an elevated or decreased ECG age. There was a trend `toward higher rates of dose reductions in patients with high ECG aging (odds ratio, 5.13;  Overall, AI-based predictions on ECG tracings could be a way to monitor for decreases in EF during treatment with anthracycline chemotherapy. We recommend further studies to evaluate AI-ECG aging as a marker for chemotherapy tolerance."
40740073,2025,,Giovanni Benfari,"Giovanni Benfari, Benjamin Essayagh, Stefano Nistri, Francesca Bursi, Maurice Enriquez-Sarano",Left Atrial Volumetric/Mechanical Coupling Index Is Ready for Prime Time Across Clinical Scenarios.,2047-9980,10.1161/JAHA.125.043876,e043876,15,14,Journal of the American Heart Association,J Am Heart Assoc,
40737620,2025,,Aida K Sarcon,"Aida K Sarcon, Rou Wan, Ramona L Reisdorf, Julia F Jacobs, Omar A Selim, Felicia D Duke Boynton, Anne Gingery, Atta Behfar, Chunfeng Zhao, Steven L Moran",Ischemia-Reperfusion Injury in a Composite Tissue Microsurgical Model.,1529-4242,10.1097/PRS.0000000000012343,,,,Plastic and reconstructive surgery,Plast Reconstr Surg,"We present a novel microsurgical model to investigate ischemia-reperfusion injury in composite tissue (muscle/skin) using a musculocutaneous flap. Ischemia-reperfusion was induced in a rodent biceps femoris musculocutaneous flap through collateral ligation and arteriovenous clamping. We hypothesized that ischemia-reperfusion flaps would show greater tissue damage compared to sham. Male rats were randomized into ischemia-reperfusion (N=10) and sham (N=9) groups. The ischemia-reperfusion group underwent flap elevation, collateral ligation, 3-hours of arteriovenous clamping, and followed by reperfusion. Sham had flap elevation only. Perfusion was monitored using laser-speckle imaging, and flap discoloration was assessed with blinded-SKIN scores. Serum and the composite tissue (skin/muscle) were analyzed for injury on postoperative days (POD) 1 or 3. Clamping reduced perfusion (p=0.00), while unclamping increased perfusion (p<0.00). Over time, flaps exposed to ischemia-reperfusion were more ischemic (Estimate 0.39, p=0.02). At POD1, the injury group had higher serum creatine kinase (p=0.04) and potassium (p=0.00) than sham. The injury group had more muscle apoptosis (34.7% vs. 5.2%, p=0.03), myonecrosis (30.3% vs. 14.1%, p=0.04), and inflammation (13.7% vs. 4.9%, p=0.02) than sham; myonecrosis and inflammation persisted into POD3. Skin apoptosis and inflammation were similar. This model reliably reproduces ischemia-reperfusion injury with a 3-hour ischemic period followed by early reperfusion. Animals subjected to our technique showed greater tissue damage than sham, with muscle being more vulnerable than skin. Serum showed peak muscle injury at 24-hours, and histology showed myonecrosis and inflammation through 72-hours. This suggests that <24-hours reperfusion (e.g., critical-window) may serve as the optimal time for possible intervention."
40731213,2025,,Medha L Soowamber,"Medha L Soowamber, Milena Bond, Zahi Touma, Carol Langford, Catalina Sanchez-Alvarez, Andy Abril, Sibel Zehra Aydin, Frank Buttgereit, Dario Camellino, Maria C Cid, Peter C Grayson, Bernhard Hellmich, William Lichliter, Tanaz A Kermani, Nader A Khalidi, Sarah L Mackie, Eric L Matteson, Mehrdad Maz, Peter A Merkel, Paul A Monach, Lorna Neill, Cristina Ponte, Carlo Salvarani, Wolfgang A Schmidt, Peter M Villiger, Kenneth J Warrington, Madeline Whitlock, Sofia Ramiro, Christian Dejaco",A glossary of signs and symptoms of giant cell arteritis.,1468-2060,10.1016/j.ard.2025.06.2126,,,,Annals of the rheumatic diseases,Ann Rheum Dis,"This study seeks to create consensus-based definitions of signs and symptoms of giant cell arteritis (GCA) for use by health care professionals, primarily in research settings. Core definitions of signs and symptoms of GCA were extracted from 11 randomised controlled trials of GCA previously reviewed in a systematic literature review conducted in the context of the development of response criteria for GCA. This information was supplemented by definitions from other sources, such as rheumatology textbooks. A 2-round Delphi was performed within an international task force (32 members from 11 countries). The first round aimed to obtain consensus on the descriptive terms defining each sign or symptom, and round 2 rated the importance of these terms. Based on the Delphi study method, preliminary definitions were developed. In 4 online meetings, results of the Delphi were reviewed, and a consensus was achieved on final definitions. Twenty-nine signs and symptoms of GCA were reviewed. Six signs or symptoms of GCA had previously been defined in the literature. A high level of agreement was reached on the definition of 23 signs and symptoms with the following 12 considered characteristic of GCA: headache, temporal artery abnormalities, scalp tenderness, scalp necrosis, jaw claudication, tongue claudication, tongue necrosis, amaurosis fugax, permanent vision loss, fever, limb claudication, and blood pressure inequality. A glossary of definitions for 23 signs and symptoms of GCA was developed through a consensus process involving international experts."
40720611,2025,,Ying Huang,"Ying Huang, Jill Colglazier, Alberto Pochettino, Manju Kalra, Thomas C Bower, Kevin L Greason, Bernardo C Mendes, Emanuel R Tenorio, Peter Gloviczki, William S Harmsen, Gustavo S Oderich",Treatment Trends and Outcomes of Endovascular versus Open Thoracoabdominal Aortic Aneurysm Repair - A Single-center Comparative Cohort Study.,1528-1140,10.1097/SLA.0000000000006848,,,,Annals of surgery,Ann Surg,"To evaluate treatment trends and compare outcomes following fenestrated-branched endovascular aortic repair (FB-EVAR) versus open surgical repair (OSR) of thoracoabdominal aortic aneurysms (TAAA). FB-EVAR has been increasingly utilized as a less invasive alternative to OSR for treatment of TAAAs. We studied patients who underwent elective FB-EVAR or OSR of TAAAs (2008-2020), since the initiation of an Advanced Endovascular Aortic Program. Primary endpoints were early major adverse events (MAE) and early and late all-cause mortality. Propensity score overlap weighting analysis was performed to adjust for measured confounders between groups. There were 357 (70.8%) patients treated by FB-EVAR and 147 (29.2%) with OSR. The use of FB-EVAR increased from 16.7% in 2008 to >80% since 2017 (P<0.001). Incidences of early MAEs were 25.8% and 49.0%, respectively; early mortality rates for FB-EVAR and OSR were 2.5% and 6.8%, respectively. In the weighted cohort, FB-EVAR patients had decreased early MAEs (weight-adjusted odds ratio [aOR], 0.28; 95% confidence interval [CI], 0.18-0.41; P<0.001) and mortality (aOR, 0.35; 95% CI, 0.17-0.73; P=0.005) versus OSR patients. Five-year survival estimates were 52.2% (95% CI, 45.2-60.4%) and 78.0% (95% CI, 70.6-86.2%), respectively. In the weighted cohort, there was no significant difference in late survival between groups (weight-adjusted hazard ratio, 1.33; 95% CI, 0.74-2.39; P=0.34). This study confirmed the change in practice from OSR to FB-EVAR for treatment of TAAAs over the past decade. Incidences of early MAEs and mortality were lower with FB-EVAR, with no significant difference in late survival in the weighted cohort."
40689545,2025,,Matteo Castrichini,"Matteo Castrichini, Ramin Garmany, Konstantinos C Siontis, Jeremy D Collins, John P Bois, Naveen L Pereira, David J Tester, Martina Gluscevic, Trung Huynh, Raquel Neves, Andrew N Rosenbaum, Michael J Ackerman, John R Giudicessi",Variant-Specific Late Gadolinium Enhancement Patterns Influence Clinical Outcomes in ,2047-9980,10.1161/JAHA.124.041230,e041230,15,14,Journal of the American Heart Association,J Am Heart Assoc,Disease-causative variants in  Retrospective analysis of 822 genotype-positive patients with arrhythmogenic/dilated cardiomyopathy was used to identify those with disease-causative variants in  Among the 72/116 (62%) 
40689513,2025,,Katia Bravo-Jaimes,"Katia Bravo-Jaimes, M H D Osama Srour, Petra Jenkins, Raquel Luna-Lopez, Oktay Tutarel, Geetha Kandavello, Carlos-Eduardo Guerrero-Chalela, Edgar García-Cruz, Judith Ackerman, Amalia Elizari, Miriam Valdez-Ramos, Blanche Cupido, Dominica Zentner, Murad Almasri, Sabrina Phillips, Christopher J McLeod, Luke J Burchill, Celia Kamath, Renee P Bullock-Palmer, Jonathan Windram",Adult Congenital Heart Disease as a Career? Examining Encouraging and Deterring Factors in the Global ACHD Survey.,2047-9980,10.1161/JAHA.125.041276,e041276,15,14,Journal of the American Heart Association,J Am Heart Assoc,"There is a global mismatch between the number of adults with congenital heart disease and adult congenital heart disease (ACHD) cardiologists, potentially impacting patient outcomes. This survey explores factors influencing trainees and cardiologists' career choices in ACHD. An online, anonymous global survey on demographics, ACHD as a career choice, encouraging and deterring factors assessed via a 5-point Likert scale and open-ended questions on recommending ACHD was distributed through targeted emails and social media. Responses meeting a 75% completion criterion were analyzed using descriptive statistics and thematic analysis. Among 811 included responses, most were from women (53.5%), aged 31 to 40 years (48.3%), White individuals (43.3%), non-Hispanic individuals (85%), from outside the ACHD field (79.0%), and from North America (42.7%). Only 30.9% of non-ACHD physicians considered specializing in ACHD despite 78.9% recommending it. Encouraging factors included awareness of ACHD significance, mentor influence, and clinical exposure. Key deterrents were inadequate financial incentives, limited job opportunities, and lengthy training. Regional variations showed that longer training duration and lack of compensation incentives were the main deterrents in North America. Suggested solutions included structured training programs, salary improvements, and early ACHD exposure during medical education. Less than a third of respondents considered ACHD as a career largely due to inadequate financial incentives, limited job opportunities, and long training duration. Addressing these barriers could enhance recruitment and help meet the growing demands of the ACHD population."
40688187,2025,,Swe Swe Hlaing,"Swe Swe Hlaing, Gabor Varadi, Alexi Bloom, Ellen D McPhail, Rekha Bhat",Isolated Mu Heavy Chain Deposition Disease-A Rare Cause of Spontaneous Splenic Rupture in a Young Adult.,2688-6146,10.1182/blood-2009-07-230722,e70107,4,6,EJHaem,EJHaem,
40678578,2025,,Teresa K L Boitano,"Teresa K L Boitano, Benjamin Lai, Sean C Dowdy, J Michael Straughn",Mini-review: Perioperative pain management in gynecologic oncology - strategies and future directions.,2352-5789,10.1016/j.gore.2025.101788,101788,,60,Gynecologic oncology reports,Gynecol Oncol Rep,"This mini-review discusses important factors in opioid use in gynecologic oncology in the perioperative setting. Evidence-based prescribing guidelines, multimodal analgesia strategies, and individualized care in patients with a history of opioid use are discussed. Opioid tapering and its potential risks are also discussed. Additionally, we touch on machine learning in optimizing analgesia. By bridging evidence-based practices and advancements, this review outlines actionable recommendations to maximize patient care and facilitate responsible opioid stewardship in gynecologic oncology."
40673553,2025,,Yihong Deng,"Yihong Deng, Eric C Polley, Jeph Herrin, Kavya S Swarna, David M Kent, Joseph S Ross, Bradley A Maron, Mindy M Mickelson, Rozalina G McCoy",Heterogeneity of Cardiovascular Effects of Second-Line Glucose-Lowering Therapies in Adults With Type 2 Diabetes Across the Range of Moderate Baseline Cardiovascular Risk.,2047-9980,10.1161/JAHA.124.040217,e040217,15,14,Journal of the American Heart Association,J Am Heart Assoc,"Glucagon-like peptide-1 receptor agonists (GLP-1RAs) and sodium-glucose cotransporter-2 inhibitors (SGLT2is) have favorable cardiovascular outcomes compared with dipeptidyl peptidase-4 inhibitors (DPP4is) and sulfonylureas in adults with type 2 diabetes and high cardiovascular risk. How these benefits vary across lower levels of cardiovascular risk is unknown. We used nationwide claims data to emulate a comparative effectiveness trial and examine the heterogeneity of treatment effects of GLP-1RAs, SGLT2is, DPP4is, and sulfonylureas on major adverse cardiovascular events (MACEs) among adults with type 2 diabetes and moderate cardiovascular risk (annualized MACE risk 1%-5%, estimated using the annualized claims-based MACE estimator). Among 386 276 included adults with type 2 diabetes, 25.2% had baseline ACME-predicted MACE risk >1% to ≤2% (lower-risk patients) and 13.3% had ACME-predicted risk >4% to ≤5% (higher-risk patients). By year 3 of treatment, higher-risk patients derived greater absolute benefit than lower-risk patients when treated with GLP-1RAs versus sulfonylureas (absolute reduction in the estimated rate of MACE of 3.1% in higher-risk patients and 1.6% in lower-risk patients), SGLT2is versus sulfonylureas (absolute reduction, 3.9% in higher-risk patients and 1.3% in lower-risk patients), and GLP-1RAs versus DPP4is (absolute reduction, 1.6% in higher-risk patients and 0.5% in lower-risk patients). The relative benefits for MACE were also greater in higher-risk than lower-risk patients with SGLT2is versus DPP4is (hazard ratio [HR], 0.78 [95% CI, 0.70-0.87] in higher-risk patients; HR, 0.99 [95% CI, 0.88-1.12] in lower-risk patients). Conversely, the relative benefits of DPP4is and GLP-1RAs versus sulfonylureas were greater in lower-risk patients: HR 0.76 (95% CI, 0.71-0.81) in lower-risk and HR 0.91 (95% CI, 0.97-0.96) in higher-risk patients for DPP4is versus sulfonylureas; HR 0.67 (95% CI, 0.58-0.78) in lower-risk and HR 0.80 (95% CI, 0.70-0.93) in higher-risk patients for GLP-1RAs versus sulfonylurea. Benefits of SGLT2is and GLP-1RAs were comparable across all risk levels. Cardiovascular benefits of SGLT2is and GLP-1RAs exist across all levels of moderate cardiovascular risk, reinforcing the importance of choosing glucose-lowering therapies that can prevent MACE in all people with type 2 diabetes."
